,Nominal Pipe Diameter (inches),1/2,3/4,1,1-1/4,1-1/2,2,2-1/2,3,3-1/2,4
1,Cold Water - Flush Tank,0,2,6,12,21,56,151,315,533,840
1.1,Cold Water - Flush Tank,0,2,6,13,21,58,165,337,559,874
1.2,Cold Water - Flush Tank,0,2,7,13,23,63,175,359,585,945
1.3,Cold Water - Flush Tank,0,3,7,13,24,69,185,380,638,1018
1.4,Cold Water - Flush Tank,0,3,7,15,26,74,205,406,665,1091
1.5,Cold Water - Flush Tank,0,3,7,15,26,78,215,406,692,1173
1.6,Cold Water - Flush Tank,0,3,8,16,28,86,225,431,719,1173
1.7,Cold Water - Flush Tank,0,3,8,16,30,90,236,455,748,1254
1.8,Cold Water - Flush Tank,0,3,8,18,30,95,245,479,809,1335
1.9,Cold Water - Flush Tank,0,3,8,18,32,103,264,479,840,1418
2,Cold Water - Flush Tank,0,3,8,18,32,107,275,506,874,1418
2.2,Cold Water - Flush Tank,0,4,10,20,36,115,294,559,945,1583
2.4,Cold Water - Flush Tank,0,4,10,21,39,127,315,585,1018,1668
2.6,Cold Water - Flush Tank,0,4,12,21,42,135,337,611,1091,1668
2.8,Cold Water - Flush Tank,0,4,12,23,44,146,359,638,1091,1668
3,Cold Water - Flush Tank,0,4,12,24,46,155,380,665,1091,1668
3.2,Cold Water - Flush Tank,0,6,13,24,49,165,380,719,1091,1668
3.4,Cold Water - Flush Tank,1,6,13,26,51,175,406,719,1091,1668
3.6,Cold Water - Flush Tank,1,6,13,28,54,185,431,719,1091,1668
3.8,Cold Water - Flush Tank,1,6,15,28,56,195,431,719,1091,1668
4,Cold Water - Flush Tank,1,6,15,30,56,205,455,719,1091,1668
4.2,Cold Water - Flush Tank,1,6,15,30,58,205,455,719,1091,1668
4.4,Cold Water - Flush Tank,1,7,16,32,60,215,455,719,1091,1668
4.6,Cold Water - Flush Tank,1,7,16,32,63,225,455,719,1091,1668
4.8,Cold Water - Flush Tank,1,7,16,34,66,236,455,719,1091,1668
5,Cold Water - Flush Tank,1,7,18,34,66,245,455,719,1091,1668
5.2,Cold Water - Flush Tank,2,7,18,36,69,254,455,719,1091,1668
5.4,Cold Water - Flush Tank,2,7,18,36,74,254,455,719,1091,1668
5.6,Cold Water - Flush Tank,2,7,18,39,78,254,455,719,1091,1668
5.8,Cold Water - Flush Tank,2,8,20,39,78,254,455,719,1091,1668
6,Cold Water - Flush Tank,2,8,20,42,83,254,455,719,1091,1668
6.2,Cold Water - Flush Tank,2,8,20,42,86,254,455,719,1091,1668
6.4,Cold Water - Flush Tank,2,8,20,44,90,254,455,719,1091,1668
6.6,Cold Water - Flush Tank,2,8,21,44,90,254,455,719,1091,1668
6.8,Cold Water - Flush Tank,2,8,21,44,95,254,455,719,1091,1668
7,Cold Water - Flush Tank,2,8,21,46,99,254,455,719,1091,1668
7.2,Cold Water - Flush Tank,3,8,21,46,99,254,455,719,1091,1668
7.4,Cold Water - Flush Tank,3,10,23,49,103,254,455,719,1091,1668
7.6,Cold Water - Flush Tank,3,10,23,49,103,254,455,719,1091,1668
7.8,Cold Water - Flush Tank,3,10,23,49,103,254,455,719,1091,1668
8,Cold Water - Flush Tank,3,10,23,51,103,254,455,719,1091,1668
8.2,Cold Water - Flush Tank,3,10,24,51,103,254,455,719,1091,1668
8.4,Cold Water - Flush Tank,3,10,24,54,103,254,455,719,1091,1668
8.6,Cold Water - Flush Tank,3,10,24,54,103,254,455,719,1091,1668
8.8,Cold Water - Flush Tank,3,10,24,54,103,254,455,719,1091,1668
9,Cold Water - Flush Tank,3,10,24,56,103,254,455,719,1091,1668
9.2,Cold Water - Flush Tank,3,12,26,56,103,254,455,719,1091,1668
9.4,Cold Water - Flush Tank,3,12,26,56,103,254,455,719,1091,1668
9.6,Cold Water - Flush Tank,3,12,26,56,103,254,455,719,1091,1668
9.8,Cold Water - Flush Tank,3,12,26,56,103,254,455,719,1091,1668
10,Cold Water - Flush Tank,3,12,28,56,103,254,455,719,1091,1668
10.2,Cold Water - Flush Tank,3,12,28,56,103,254,455,719,1091,1668
10.4,Cold Water - Flush Tank,3,12,28,56,103,254,455,719,1091,1668
10.6,Cold Water - Flush Tank,3,12,28,56,103,254,455,719,1091,1668
10.8,Cold Water - Flush Tank,3,12,28,56,103,254,455,719,1091,1668
11,Cold Water - Flush Tank,3,12,30,56,103,254,455,719,1091,1668
11.2,Cold Water - Flush Tank,3,13,30,56,103,254,455,719,1091,1668
11.4,Cold Water - Flush Tank,3,13,30,56,103,254,455,719,1091,1668
11.6,Cold Water - Flush Tank,3,13,30,56,103,254,455,719,1091,1668
11.8,Cold Water - Flush Tank,3,13,30,56,103,254,455,719,1091,1668
12,Cold Water - Flush Tank,3,13,30,56,103,254,455,719,1091,1668
12.2,Cold Water - Flush Tank,4,13,30,56,103,254,455,719,1091,1668
12.4,Cold Water - Flush Tank,4,13,30,56,103,254,455,719,1091,1668
12.6,Cold Water - Flush Tank,4,13,30,56,103,254,455,719,1091,1668
12.8,Cold Water - Flush Tank,4,13,30,56,103,254,455,719,1091,1668
13,Cold Water - Flush Tank,4,13,30,56,103,254,455,719,1091,1668
13.2,Cold Water - Flush Tank,4,13,30,56,103,254,455,719,1091,1668
13.4,Cold Water - Flush Tank,4,15,30,56,103,254,455,719,1091,1668
13.6,Cold Water - Flush Tank,4,15,30,56,103,254,455,719,1091,1668
13.8,Cold Water - Flush Tank,4,15,30,56,103,254,455,719,1091,1668
14,Cold Water - Flush Tank,4,15,30,56,103,254,455,719,1091,1668
14.2,Cold Water - Flush Tank,4,15,30,56,103,254,455,719,1091,1668
14.4,Cold Water - Flush Tank,4,15,30,56,103,254,455,719,1091,1668
14.6,Cold Water - Flush Tank,4,15,30,56,103,254,455,719,1091,1668
14.8,Cold Water - Flush Tank,4,15,30,56,103,254,455,719,1091,1668
15,Cold Water - Flush Tank,4,15,30,56,103,254,455,719,1091,1668
15.5,Cold Water - Flush Tank,4,15,30,56,103,254,455,719,1091,1668
16,Cold Water - Flush Tank,4,16,30,56,103,254,455,719,1091,1668
16.5,Cold Water - Flush Tank,4,16,30,56,103,254,455,719,1091,1668
17,Cold Water - Flush Tank,4,16,30,56,103,254,455,719,1091,1668
17.5,Cold Water - Flush Tank,4,16,30,56,103,254,455,719,1091,1668
18,Cold Water - Flush Tank,4,16,30,56,103,254,455,719,1091,1668
19,Cold Water - Flush Tank,6,16,30,56,103,254,455,719,1091,1668
20,Cold Water - Flush Tank,6,16,30,56,103,254,455,719,1091,1668
21,Cold Water - Flush Tank,6,16,30,56,103,254,455,719,1091,1668
22,Cold Water - Flush Tank,6,16,30,56,103,254,455,719,1091,1668
23,Cold Water - Flush Tank,6,16,30,56,103,254,455,719,1091,1668
24,Cold Water - Flush Tank,6,16,30,56,103,254,455,719,1091,1668
25,Cold Water - Flush Tank,6,16,30,56,103,254,455,719,1091,1668
>25,Cold Water - Flush Tank,6,16,30,56,103,254,455,719,1091,1668
