,Nominal Pipe Diameter (inches),1/2,3/4,1,1-1/4,1-1/2,2,2-1/2,3,3-1/2,4
1,Hot Water - (5 ft/s max),0,2,6,12,21,56,151,315,533,840
1.1,Hot Water - (5 ft/s max),0,2,6,13,21,58,165,337,559,840
1.2,Hot Water - (5 ft/s max),0,2,7,13,23,63,175,359,585,840
1.3,Hot Water - (5 ft/s max),0,3,7,13,24,69,185,380,585,840
1.4,Hot Water - (5 ft/s max),0,3,7,15,26,74,205,406,585,840
1.5,Hot Water - (5 ft/s max),0,3,7,15,26,78,215,406,585,840
1.6,Hot Water - (5 ft/s max),0,3,8,16,28,86,225,406,585,840
1.7,Hot Water - (5 ft/s max),0,3,8,16,30,90,236,406,585,840
1.8,Hot Water - (5 ft/s max),0,3,8,18,30,95,245,406,585,840
1.9,Hot Water - (5 ft/s max),0,3,8,18,32,103,245,406,585,840
2,Hot Water - (5 ft/s max),0,3,8,18,32,107,245,406,585,840
2.2,Hot Water - (5 ft/s max),0,4,10,20,36,115,245,406,585,840
2.4,Hot Water - (5 ft/s max),0,4,10,21,39,119,245,406,585,840
2.6,Hot Water - (5 ft/s max),0,4,12,21,42,119,245,406,585,840
2.8,Hot Water - (5 ft/s max),0,4,12,23,44,119,245,406,585,840
3,Hot Water - (5 ft/s max),0,4,12,24,46,119,245,406,585,840
3.2,Hot Water - (5 ft/s max),0,6,13,24,46,119,245,406,585,840
3.4,Hot Water - (5 ft/s max),1,6,13,26,46,119,245,406,585,840
3.6,Hot Water - (5 ft/s max),1,6,13,28,46,119,245,406,585,840
3.8,Hot Water - (5 ft/s max),1,6,15,28,46,119,245,406,585,840
4,Hot Water - (5 ft/s max),1,6,15,28,46,119,245,406,585,840
4.2,Hot Water - (5 ft/s max),1,6,15,28,46,119,245,406,585,840
4.4,Hot Water - (5 ft/s max),1,7,16,28,46,119,245,406,585,840
4.6,Hot Water - (5 ft/s max),1,7,16,28,46,119,245,406,585,840
4.8,Hot Water - (5 ft/s max),1,7,16,28,46,119,245,406,585,840
5,Hot Water - (5 ft/s max),1,7,16,28,46,119,245,406,585,840
5.2,Hot Water - (5 ft/s max),2,7,16,28,46,119,245,406,585,840
5.4,Hot Water - (5 ft/s max),2,7,16,28,46,119,245,406,585,840
5.6,Hot Water - (5 ft/s max),2,7,16,28,46,119,245,406,585,840
5.8,Hot Water - (5 ft/s max),2,8,16,28,46,119,245,406,585,840
6,Hot Water - (5 ft/s max),2,8,16,28,46,119,245,406,585,840
6.2,Hot Water - (5 ft/s max),2,8,16,28,46,119,245,406,585,840
6.4,Hot Water - (5 ft/s max),2,8,16,28,46,119,245,406,585,840
6.6,Hot Water - (5 ft/s max),2,8,16,28,46,119,245,406,585,840
6.8,Hot Water - (5 ft/s max),2,8,16,28,46,119,245,406,585,840
7,Hot Water - (5 ft/s max),2,8,16,28,46,119,245,406,585,840
7.2,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
7.4,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
7.6,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
7.8,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
8,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
8.2,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
8.4,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
8.6,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
8.8,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
9,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
9.2,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
9.4,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
9.6,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
9.8,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
10,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
10.2,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
10.4,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
10.6,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
10.8,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
11,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
11.2,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
11.4,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
11.6,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
11.8,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
12,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
12.2,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
12.4,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
12.6,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
12.8,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
13,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
13.2,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
13.4,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
13.6,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
13.8,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
14,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
14.2,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
14.4,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
14.6,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
14.8,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
15,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
15.5,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
16,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
16.5,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
17,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
17.5,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
18,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
19,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
20,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
21,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
22,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
23,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
24,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
25,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
>25,Hot Water - (5 ft/s max),3,8,16,28,46,119,245,406,585,840
