,Nominal Pipe Diameter (inches),1/2,3/4,1,1-/1/4,1-1/2,2,2-1/2,3,3-1/2,4
1,Cold Water - Flush Valve,0,0,0,0,0,14,60,186,430,811
1.1,Cold Water - Flush Valve,0,0,0,0,0,15,69,205,460,850
1.2,Cold Water - Flush Valve,0,0,0,0,0,18,76,223,490,931
1.3,Cold Water - Flush Valve,0,0,0,0,0,21,82,245,559,1009
1.4,Cold Water - Flush Valve,0,0,0,0,0,23,95,270,596,1091
1.5,Cold Water - Flush Valve,0,0,0,0,0,25,102,270,631,1173
1.6,Cold Water - Flush Valve,0,0,0,0,0,28,108,295,666,1173
1.7,Cold Water - Flush Valve,0,0,0,0,0,30,116,329,700,1254
1.8,Cold Water - Flush Valve,0,0,0,0,0,31,124,365,775,1335
1.9,Cold Water - Flush Valve,0,0,0,0,0,35,140,365,811,1418
2,Cold Water - Flush Valve,0,0,0,0,0,37,148,396,850,1418
2.2,Cold Water - Flush Valve,0,0,0,0,6,42,168,460,931,1583
2.4,Cold Water - Flush Valve,0,0,0,0,7,48,186,490,1009,1668
2.6,Cold Water - Flush Valve,0,0,0,0,8,52,205,521,1091,1668
2.8,Cold Water - Flush Valve,0,0,0,0,9,57,223,559,1091,1668
3,Cold Water - Flush Valve,0,0,0,0,10,63,245,596,1091,1668
3.2,Cold Water - Flush Valve,0,0,0,0,11,69,245,666,1091,1668
3.4,Cold Water - Flush Valve,0,0,0,0,12,76,270,666,1091,1668
3.6,Cold Water - Flush Valve,0,0,0,0,13,82,295,666,1091,1668
3.8,Cold Water - Flush Valve,0,0,0,0,14,88,295,666,1091,1668
4,Cold Water - Flush Valve,0,0,0,0,14,95,329,666,1091,1668
4.2,Cold Water - Flush Valve,0,0,0,0,15,95,329,666,1091,1668
4.4,Cold Water - Flush Valve,0,0,0,0,16,102,329,666,1091,1668
4.6,Cold Water - Flush Valve,0,0,0,0,18,108,329,666,1091,1668
4.8,Cold Water - Flush Valve,0,0,0,5,20,116,329,666,1091,1668
5,Cold Water - Flush Valve,0,0,0,5,20,124,329,666,1091,1668
5.2,Cold Water - Flush Valve,0,0,0,6,21,132,329,666,1091,1668
5.4,Cold Water - Flush Valve,0,0,0,6,23,132,329,666,1091,1668
5.6,Cold Water - Flush Valve,0,0,0,7,25,132,329,666,1091,1668
5.8,Cold Water - Flush Valve,0,0,0,7,25,132,329,666,1091,1668
6,Cold Water - Flush Valve,0,0,0,8,26,132,329,666,1091,1668
6.2,Cold Water - Flush Valve,0,0,0,8,28,132,329,666,1091,1668
6.4,Cold Water - Flush Valve,0,0,0,9,30,132,329,666,1091,1668
6.6,Cold Water - Flush Valve,0,0,0,9,30,132,329,666,1091,1668
6.8,Cold Water - Flush Valve,0,0,0,9,31,132,329,666,1091,1668
7,Cold Water - Flush Valve,0,0,0,10,33,132,329,666,1091,1668
7.2,Cold Water - Flush Valve,0,0,0,10,33,132,329,666,1091,1668
7.4,Cold Water - Flush Valve,0,0,0,11,35,132,329,666,1091,1668
7.6,Cold Water - Flush Valve,0,0,0,11,35,132,329,666,1091,1668
7.8,Cold Water - Flush Valve,0,0,0,11,35,132,329,666,1091,1668
8,Cold Water - Flush Valve,0,0,0,12,35,132,329,666,1091,1668
8.2,Cold Water - Flush Valve,0,0,0,12,35,132,329,666,1091,1668
8.4,Cold Water - Flush Valve,0,0,0,13,35,132,329,666,1091,1668
